timestamp,x_position,y_position,action
37.18,100,300,idle
37.22,100,300,idle
37.25,100,300,idle
37.29,100,300,idle
37.32,100,300,idle
37.36,100,300,idle
37.39,100,300,idle
37.42,100,300,idle
37.46,100,300,idle
37.49,100,300,idle
37.52,100,300,idle
37.56,100,300,idle
37.59,100,300,idle
37.62,100,300,idle
37.66,100,300,idle
37.69,100,300,idle
37.72,100,300,idle
37.76,100,300,idle
37.79,100,300,idle
37.82,100,300,idle
37.86,100,300,idle
37.89,100,300,idle
37.93,100,300,idle
37.96,100,300,idle
37.99,100,300,idle
38.03,100,300,idle
38.06,100,300,idle
38.09,100,300,idle
38.13,100,300,idle
38.16,100,300,idle
38.2,100,300,idle
38.23,100,300,idle
38.26,100,300,idle
38.3,100,300,idle
38.33,100,300,idle
38.36,100,300,idle
38.4,100,300,idle
38.43,100,300,idle
38.46,100,300,idle
38.5,100,300,idle
38.53,100,300,idle
38.56,100,300,idle
38.6,100,300,idle
38.63,100,300,idle
38.67,100,300,idle
38.7,100,300,idle
38.73,100,300,idle
38.77,100,300,idle
38.8,100,300,idle
38.83,100,300,idle
38.87,100,300,idle
38.9,100,300,idle
38.93,100,300,idle
38.97,100,300,idle
39.0,100,300,idle
39.03,100,300,idle
39.07,100,300,idle
39.1,100,300,idle
39.14,100,300,idle
39.17,100,300,idle
39.2,100,300,idle
39.23,100,300,idle
39.27,100,300,idle
39.3,100,300,idle
39.34,100,300,idle
39.37,100,300,idle
39.4,100,300,idle
39.44,100,300,idle
39.47,100,300,idle
39.5,100,300,idle
39.54,100,300,idle
39.57,100,300,idle
39.61,100,300,idle
39.64,100,300,idle
39.67,100,300,idle
39.71,100,300,idle
39.74,100,300,idle
39.77,100,300,idle
39.81,100,300,idle
39.84,100,300,idle
39.88,100,300,idle
39.91,100,300,idle
39.94,100,300,idle
39.98,100,300,idle
40.01,100,300,idle
40.04,100,300,idle
40.08,100,300,idle
40.11,100,300,idle
40.14,100,300,idle
40.18,100,300,idle
40.21,100,300,idle
40.24,100,300,idle
40.28,100,300,idle
40.31,100,300,idle
40.34,100,300,idle
40.38,100,300,idle
40.41,100,300,idle
40.44,100,300,idle
40.48,100,300,idle
40.51,100,300,idle
40.54,100,300,idle
40.58,100,300,idle
40.61,100,300,idle
40.65,100,300,idle
40.68,100,300,idle
40.71,100,300,idle
40.75,100,300,idle
40.78,100,300,idle
40.82,100,300,idle
40.85,100,300,idle
40.88,100,300,idle
40.92,100,300,idle
40.95,100,300,idle
40.98,100,300,idle
41.02,100,300,idle
41.05,100,300,idle
41.08,100,300,idle
41.12,100,300,idle
41.15,100,300,idle
41.18,100,300,idle
41.22,100,300,idle
41.25,100,300,idle
41.29,100,300,idle
41.32,100,300,idle
41.35,100,300,idle
41.39,100,300,idle
41.42,100,300,idle
41.45,100,300,idle
41.49,100,300,idle
41.52,100,300,idle
41.55,100,300,idle
41.59,100,300,idle
41.62,100,300,idle
41.66,100,300,idle
41.69,100,300,idle
41.72,100,300,idle
41.76,100,300,idle
41.79,100,300,idle
41.82,100,300,idle
41.86,100,300,idle
41.89,100,300,idle
41.93,100,300,idle
41.96,100,300,idle
42.0,100,300,idle
42.03,100,300,idle
42.06,100,300,idle
42.1,100,300,idle
42.13,100,300,idle
42.17,100,300,idle
42.2,100,300,idle
42.23,100,300,idle
42.27,100,300,idle
42.3,100,300,idle
42.33,100,300,idle
42.37,100,300,idle
42.4,100,300,idle
42.44,100,300,idle
42.47,100,300,idle
42.5,100,300,idle
